timestamps,eeg_1,eeg_2,eeg_3,eeg_4,note
1751473771.4033227,692.3854,598.1261,771.86414,44.69572,
1751473771.4072182,768.5894,832.75653,861.5211,1028.2671,
1751473771.4111140,839.21747,938.0791,914.2709,1450.0,
1751473771.4150095,821.87024,785.58264,859.0429,1056.1466,
1751473771.4189050,735.84204,562.3695,758.5882,66.114265,
1751473771.4228008,701.1475,572.3707,743.8076,0.0,
1751473771.4266963,768.8549,811.16095,829.12775,884.4442,
1751473771.4305918,844.7934,950.11597,889.1351,1450.0,
1751473771.4344876,835.3232,821.51624,850.01526,1194.305,
1751473771.4383831,753.89734,591.84216,756.11,184.71281,
1751473771.4422789,703.27167,562.9891,725.7523,0.0,
1751473771.4461744,752.65826,774.96185,800.18616,746.90533,
1751473771.4500699,834.3496,942.50446,872.9384,1450.0,
1751473771.4539657,837.1818,853.2015,847.9796,1315.2048,
1751473771.4578612,756.464,597.8606,755.0479,319.86206,
1751473771.4617567,690.7923,522.0106,707.7855,0.0,
1751473771.4656525,729.11554,735.57654,773.1032,592.37317,
1751473771.4695480,815.9403,931.79517,861.25555,1450.0,
1751473771.4734437,834.0841,874.266,848.5992,1418.3147,
1751473771.4773393,756.1985,639.28156,753.54333,458.64005,
1751473771.4812348,685.4819,540.0659,693.09344,0.0,
1751473771.4851305,707.07745,708.5821,745.93176,444.30203,
1751473771.4890261,791.6011,916.6606,835.94275,1409.5526,
1751473771.4929216,826.7381,897.8972,843.8198,1450.0,
1751473771.4968174,757.7031,669.1082,766.3767,604.49854,
1751473771.5007129,680.7911,529.6222,693.89,0.0,
1751473771.5046084,692.82794,668.22314,717.3442,305.52402,
1751473771.5085042,775.5814,895.065,809.4793,1305.9116,
1751473771.5123997,827.2691,912.1467,840.01404,1450.0,
1751473771.5162954,770.271,695.3061,760.97784,751.9502,
1751473771.5201910,676.9853,512.0094,682.38416,0.0,
1751473771.5240865,673.8876,614.8538,705.7499,173.82652,
1751473771.5279822,766.2882,866.92,794.1677,1182.6222,
1751473771.5318778,823.1093,927.5469,840.36804,1450.0,
1751473771.5357733,764.87213,737.5237,776.9975,899.93286,
1751473771.5396690,677.69336,545.55334,682.29565,0.0,
1751473771.5435646,668.48865,609.63196,682.47266,57.529144,
1751473771.5474601,747.8789,842.3152,780.9803,1046.5879,
1751473771.5513558,814.61273,926.9273,837.5359,1450.0,
1751473771.5552514,787.3527,765.7572,782.48486,1046.7649,
1751473771.5591471,695.4831,557.14764,687.1635,56.64408,
1751473771.5630426,656.0093,572.9903,667.78064,0.0,
1751473771.5669382,725.5753,794.7873,761.7744,906.74786,
1751473771.5708339,802.57587,921.70544,834.4381,1450.0,
1751473771.5747294,791.3355,802.0448,796.11487,1178.1084,
1751473771.5786250,705.2188,575.734,690.34973,169.84373,
1751473771.5825207,657.42535,552.0143,652.82306,0.0,
1751473771.5864162,713.71545,770.0055,740.9754,760.3583,
1751473771.5903120,800.18616,935.0699,822.40125,1450.0,
1751473771.5942075,801.6023,836.47375,799.65515,1297.061,
1751473771.5981030,713.71545,593.9663,710.2637,296.9389,
1751473771.6019988,654.9472,535.5521,670.4358,0.0,
1751473771.6058943,698.3153,744.5157,729.02704,607.41925,
1751473771.6097898,782.04236,932.59174,812.7541,1450.0,
1751473771.6136856,802.8414,856.2107,813.1081,1404.0652,
1751473771.6175811,723.8052,613.52625,719.1143,436.07092,
1751473771.6214767,652.469,525.28534,650.6989,0.0,
1751473771.6253724,692.2084,707.52,700.43945,461.02972,
1751473771.6292679,772.12964,907.89844,792.75165,1420.8813,
1751473771.6331637,810.98395,886.6569,807.5322,1450.0,
1751473771.6370592,749.2065,665.47943,735.311,587.7709,
1751473771.6409547,651.761,523.51526,664.7714,0.0,
1751473771.6448505,666.63007,669.3737,698.5809,323.4023,
1751473771.6487460,757.7031,893.02936,803.4609,1321.2233,
1751473771.6526415,806.91266,904.44666,827.0921,1450.0,
1751473771.6565373,756.64105,692.56244,737.3466,731.85925,
1751473771.6604328,666.54156,522.3646,647.9552,0.0,
1751473771.6643283,664.6829,632.5551,672.8255,188.51859,
1751473771.6682241,752.74677,863.73376,777.1745,1197.8453,
1751473771.6721196,808.06323,912.1467,818.06445,1450.0,
1751473771.6760154,768.9434,725.30975,752.56976,877.9833,
1751473771.6799109,682.29565,535.02106,665.2139,0.0,
1751473771.6838064,656.80585,610.33997,679.37494,73.902824,
1751473771.6877022,735.311,857.09576,765.5802,1067.918,
1751473771.6915977,810.71844,933.5653,804.6115,1450.0,
1751473771.6954932,780.6263,746.90533,759.3847,1020.7441,
1751473771.6993890,679.37494,543.07513,674.3301,39.208324,
1751473771.7032845,649.2828,579.45123,666.276,0.0,
1751473771.7071803,727.78796,798.5046,750.5341,925.33417,
1751473771.7110758,806.2046,925.33417,817.3564,1450.0,
1751473771.7149713,788.59186,799.56665,774.1653,1153.7692,
1751473771.7188671,699.4659,574.14087,673.53357,149.66429,
1751473771.7227626,660.08057,553.34186,649.4598,0.0,
1751473771.7266581,723.9822,772.39514,730.8857,775.9354,
1751473771.7305539,804.7885,936.39746,804.34595,1450.0,
1751473771.7344494,794.4332,832.13696,780.6263,1277.2356,
1751473771.7383449,710.79474,589.27545,688.57965,274.36978,
1751473771.7422407,660.4346,526.7015,648.7518,0.0,
1751473771.7461362,704.33374,742.92255,717.4327,620.87225,
1751473771.7500319,788.3263,936.13196,802.75287,1450.0,
1751473771.7539275,800.9827,860.3705,797.9735,1384.2397,
1751473771.7578230,720.4419,622.1998,703.71423,403.9431,
1751473771.7617188,655.4782,524.13477,643.08734,0.0,
1751473771.7656143,690.0842,690.5268,693.713,474.04016,
1751473771.7695098,782.21936,902.6766,783.724,1433.0953,
1751473771.7734056,812.5771,873.735,796.3804,1450.0,
1751473771.7773011,746.63983,644.5035,713.2729,552.81085,
1751473771.7811966,675.12665,532.7199,650.6104,0.0,
1751473771.7850924,680.7026,683.7118,695.92566,335.43918,
1751473771.7889879,765.8457,896.3041,785.75964,1333.8796,
1751473771.7928836,811.33795,905.7743,810.3644,1450.0,
1751473771.7967792,746.37427,689.46466,737.2581,690.8808,
