timestamps,eeg_1,eeg_2,eeg_3,eeg_4,note
1751399083.8434989,694.6866,954.8068,948.5229,795.67236,
1751399083.8473909,784.52057,1360.2545,1450.0,1070.0421,
1751399083.8512828,811.6035,922.9445,1167.4877,926.13074,
1751399083.8551748,756.1985,270.2985,299.06305,600.9583,
1751399083.8590667,684.95087,180.90704,0.0,455.0113,
1751399083.8629587,702.2096,831.51746,691.2348,755.4904,
1751399083.8668506,780.4492,1336.4463,1450.0,1060.6604,
1751399083.8707426,804.08044,1048.9775,1345.828,949.3194,
1751399083.8746345,755.4904,379.42685,475.54477,618.48254,
1751399083.8785264,681.4991,83.10749,0.0,420.6708,
1751399083.8824184,667.69214,657.6024,537.4107,665.3024,
1751399083.8863103,751.9502,1322.3738,1450.0,1022.5142,
1751399083.8902023,805.408,1144.476,1123.854,985.076,
1751399083.8940942,763.1905,399.96033,312.78156,670.3473,
1751399083.8979859,691.58887,53.280838,0.0,435.5399,
1751399083.9018779,680.1715,595.73645,396.33157,627.51025,
1751399083.9057698,734.77997,1282.9884,1379.8145,993.21857,
1751399083.9096618,781.77686,1164.2129,1421.7665,993.4841,
1751399083.9135537,769.4744,484.04138,575.9995,703.53723,
1751399083.9174457,690.6153,69.56602,0.0,443.23993,
1751399083.9213376,649.54834,518.20483,455.71933,562.8121,
1751399083.9252295,729.11554,1232.2743,1290.423,960.91376,
1751399083.9291215,788.3263,1218.4673,1450.0,1021.0981,
1751399083.9330134,766.2882,591.66516,759.2962,740.9754,
1751399083.9369054,700.705,126.2986,0.0,455.27682,
1751399083.9407973,661.31964,380.40042,149.48727,521.9221,
1751399083.9446893,721.85803,1148.9012,1190.8533,930.7331,
1751399083.9485812,797.7965,1313.5232,1450.0,1052.1638,
1751399083.9524732,788.4148,735.3995,749.0295,789.47687,
1751399083.9563651,700.35095,125.76756,0.0,471.8275,
1751399083.9602571,648.8403,274.01575,70.09705,480.41263,
1751399083.9641490,706.1924,1078.0962,1086.6813,880.8155,
1751399083.9680409,775.31586,1324.4094,1398.9318,1049.5087,
1751399083.9719329,777.88257,761.9514,847.8911,826.20703,
1751399083.9758248,727.61096,143.64586,82.39944,513.0715,
1751399083.9797168,674.2416,205.51181,0.0,462.0033,
1751399083.9836087,691.4118,1011.89343,984.6335,830.2783,
1751399083.9875007,779.03314,1360.6085,1450.0,1064.4662,
1751399083.9913926,799.3896,863.2912,1104.0286,879.04535,
1751399083.9952846,726.5489,212.59232,211.0877,547.766,
1751399083.9991765,658.4874,216.66362,82.487946,444.47903,
1751399084.0030682,678.75543,912.5008,821.3392,782.48486,
1751399084.0069602,765.7572,1346.005,1450.0,1056.6776,
1751399084.0108521,795.4953,983.30585,1277.3241,910.1111,
1751399084.0147440,737.5237,332.784,307.73666,591.2226,
1751399084.0186360,684.50836,128.24574,0.0,446.8687,
1751399084.0225279,684.77386,773.1917,678.93243,725.13275,
1751399084.0264199,755.1364,1366.45,1450.0,1039.773,
1751399084.0303118,806.2046,1091.8147,1078.2732,948.6999,
1751399084.0342038,765.40314,347.91858,245.33968,628.39526,
1751399084.0380957,683.0922,102.84441,0.0,433.68124,
1751399084.0419877,687.3405,708.7591,527.4095,678.31287,
1751399084.0458796,762.571,1303.4335,1449.2035,1028.2671,
1751399084.0497715,804.6115,1108.8079,1412.4733,975.16327,
1751399084.0536635,776.8205,422.88348,501.38864,666.1875,
1751399084.0575554,698.2268,81.425865,0.0,433.94678,
1751399084.0614474,674.94965,645.65405,591.3996,620.4297,
1751399084.0653393,752.56976,1303.6105,1389.9927,1000.1221,
1751399084.0692313,807.6207,1182.0912,1450.0,1005.9635,
1751399084.0731232,780.3607,518.8244,687.252,711.41425,
1751399084.0770152,709.2901,249.14546,0.0,443.771,
1751399084.0809071,680.5256,690.0842,280.74222,567.23737,
1751399084.0847991,745.84326,1199.527,1292.1931,965.7816,
1751399084.0886910,807.8862,1124.208,1450.0,1030.8337,
1751399084.0925829,785.75964,604.49854,751.3306,750.00305,
1751399084.0964749,721.85803,86.559235,0.0,466.25162,
1751399084.1003668,674.2416,379.0728,171.43686,534.0475,
1751399084.1042585,727.78796,1171.559,1202.2706,929.40546,
1751399084.1081505,801.6908,1343.7039,1312.6381,1046.5879,
1751399084.1120424,799.0356,711.23724,735.84204,797.35394,
1751399084.1159344,727.69946,103.46396,20.887505,482.35977,
1751399084.1198263,659.107,299.6826,38.32326,472.27005,
1751399084.1237183,712.2993,1123.5885,1069.8651,868.6016,
1751399084.1276102,805.1425,1360.697,1450.0,1060.3949,
1751399084.1315022,811.42645,783.19293,1002.2462,837.1818,
1751399084.1353941,734.77997,177.89783,113.46518,510.15076,
1751399084.1392860,675.8347,266.75824,143.20332,458.55154,
1751399084.1431780,709.4671,996.4933,950.47,823.8174,
1751399084.1470699,787.7953,1354.0591,1450.0,1044.9948,
1751399084.1509619,806.4701,895.6846,1173.5946,867.097,
