timestamps,eeg_1,eeg_2,eeg_3,eeg_4,note
1751406996.8621020,728.319,725.39825,727.52246,1071.7238,
1751406996.8659925,724.1592,726.3718,724.77875,902.057,
1751406996.8698831,708.7591,730.0891,720.2649,497.58286,
1751406996.8737736,699.0234,729.02704,718.05225,354.0255,
1751406996.8776641,710.97174,729.38104,725.7523,715.5741,
1751406996.8815546,727.4339,732.47876,730.7972,1063.3157,
1751406996.8854451,724.95575,729.02704,727.96497,945.0711,
1751406996.8893356,710.97174,725.39825,723.8052,549.18207,
1751406996.8932261,704.6878,723.5397,722.5661,349.15765,
1751406996.8971167,709.73267,725.22125,725.39825,657.33685,
1751406996.9010072,725.48676,730.4431,729.7351,1044.0212,
1751406996.9048977,730.8857,727.3454,728.23047,991.3599,
1751406996.9087882,714.689,716.9017,722.38904,598.92267,
1751406996.9126787,702.91766,718.9373,721.504,344.2013,
1751406996.9165692,710.97174,728.05347,726.3718,599.01117,
1751406996.9204597,725.30975,730.4431,729.7351,1010.0348,
1751406996.9243503,728.23047,728.14197,729.20404,1016.1417,
1751406996.9282408,720.0879,722.21204,726.2833,654.7702,
1751406996.9321313,710.0867,717.87524,716.54767,362.34512,
1751406996.9360218,709.73267,719.9109,716.54767,540.774,
1751406996.9399123,723.3626,725.22125,729.46954,957.63904,
1751406996.9438028,733.45233,727.78796,733.9834,1037.0293,
1751406996.9476933,724.69025,728.319,729.20404,719.9109,
1751406996.9515839,711.32574,727.78796,727.0799,389.60507,
1751406996.9554744,712.2993,725.48676,727.78796,493.06903,
1751406996.9593649,727.69946,721.681,733.8949,914.0054,
1751406996.9632554,737.6122,723.5397,734.51447,1055.0846,
1751406996.9671459,728.14197,729.20404,727.78796,774.60785,
1751406996.9710364,711.9453,729.38104,721.23846,416.06848,
1751406996.9749269,708.4935,730.0891,722.47754,454.74576,
1751406996.9788175,721.94653,729.8236,727.4339,864.79584,
1751406996.9827080,738.58575,731.3282,729.02704,1062.9615,
1751406996.9865985,736.01904,731.4167,729.7351,820.80817,
1751406996.9904888,722.30054,727.96497,723.8937,443.948,
1751406996.9943793,719.0258,730.0891,719.1143,415.97998,
1751406996.9982698,725.04425,729.46954,725.5753,812.046,
1751406997.0021603,732.30176,730.5317,728.93854,1061.5455,
1751406997.0060508,727.96497,728.496,727.0799,864.4418,
1751406997.0099413,715.6626,726.7259,723.9822,486.43106,
1751406997.0138319,710.1752,725.8408,722.03503,393.58786,
1751406997.0177224,722.47754,725.13275,728.319,763.72156,
1751406997.0216129,738.93976,727.61096,731.85925,1065.7053,
1751406997.0255034,734.69147,727.87646,729.6466,923.1215,
1751406997.0293939,716.9902,724.69025,727.1684,534.57855,
1751406997.0332844,709.99817,723.9822,723.5397,369.69113,
1751406997.0371749,716.7247,729.20404,724.77875,696.19116,
