timestamps,eeg_1,eeg_2,eeg_3,eeg_4,note
1749130431.9422517,0.0,0.0,0.0,0.0,
1749130431.9461427,252.33168,499.79553,382.08203,537.7648,
1749130431.9500339,1261.4814,1445.0437,1358.4844,1450.0,
1749130431.9539249,1450.0,1450.0,1450.0,1450.0,
1749130431.9578161,832.13696,572.9018,710.88324,593.5238,
1749130431.9617074,0.0,0.0,0.0,0.0,
1749130431.9655983,127.6262,364.73477,239.32124,394.82697,
1749130431.9694896,1140.7587,1353.5281,1252.3652,1373.088,
1749130431.9733806,1450.0,1450.0,1450.0,1450.0,
1749130431.9772718,968.5253,719.2028,827.0036,733.45233,
1749130431.9811628,0.0,0.0,0.0,0.0,
1749130431.9850540,24.604773,217.54868,185.50937,268.8824,
1749130431.9889452,1015.6992,1228.911,1203.3328,1279.0942,
1749130431.9928362,1450.0,1450.0,1450.0,1450.0,
1749130431.9967275,1100.6653,882.23157,971.62305,888.51556,
1749130432.0006185,92.40066,0.0,0.0,0.0,
1749130432.0045097,0.0,111.34103,26.109383,136.1228,
1749130432.0084009,875.5936,1129.2529,1012.42444,1163.5934,
1749130432.0122919,1450.0,1450.0,1450.0,1450.0,
1749130432.0161831,1243.3376,1019.682,1132.7046,1026.32,
1749130432.0200741,226.93036,20.356466,125.502045,14.426539,
1749130432.0239654,0.0,6.0184336,0.0,19.55991,
1749130432.0278566,739.02826,1001.7152,876.03613,1033.489,
1749130432.0317476,1450.0,1450.0,1450.0,1450.0,
1749130432.0356388,1335.9153,1147.0427,1240.3284,1160.9381,
1749130432.0395298,340.30704,128.06873,227.99243,129.30782,
1749130432.0434210,0.0,0.0,0.0,0.0,
1749130432.0473120,590.8686,872.8499,737.6122,908.7835,
1749130432.0512033,1450.0,1450.0,1450.0,1450.0,
1749130432.0550945,1435.0425,1275.1115,1350.6073,1280.5988,
1749130432.0589855,483.1563,270.20996,363.5842,264.63406,
1749130432.0628767,0.0,0.0,0.0,0.0,
1749130432.0667677,445.5411,701.236,595.4709,773.3687,
1749130432.0706589,1421.0585,1450.0,1450.0,1450.0,
1749130432.0745502,1450.0,1373.265,1394.3295,1362.9982,
1749130432.0784411,569.9811,388.89703,406.15576,379.0728,
1749130432.0823324,0.0,0.0,0.0,0.0,
1749130432.0862234,330.39432,588.56744,476.69534,642.99884,
1749130432.0901146,1318.4795,1450.0,1408.3135,1450.0,
1749130432.0940058,1450.0,1450.0,1450.0,1450.0,
1749130432.0978968,784.6091,536.34863,683.8888,567.23737,
1749130432.1017880,0.0,0.0,0.0,0.0,
1749130432.1056790,185.33235,439.25717,309.77234,489.17474,
1749130432.1095703,1207.4926,1405.2158,1332.8175,1430.6171,
1749130432.1134613,1450.0,1450.0,1450.0,1450.0,
1749130432.1173525,888.60406,656.80585,663.97485,676.5428,
1749130432.1212437,0.0,0.0,0.0,0.0,
1749130432.1251347,83.727036,289.8584,252.33168,357.56577,
1749130432.1290259,1087.7434,1289.007,1245.0193,1341.4912,
1749130432.1329169,1450.0,1450.0,1450.0,1450.0,
1749130432.1368082,1054.0225,844.2623,936.9285,861.6981,
1749130432.1406994,51.422207,0.0,0.0,0.0,
1749130432.1445904,0.0,156.7448,68.0614,192.14735,
1749130432.1484816,940.29175,1178.3739,1073.4939,1221.211,
1749130432.1523726,1450.0,1450.0,1450.0,1450.0,
1749130432.1562638,1194.7476,988.5278,1084.4686,994.6347,
1749130432.1601551,176.1277,0.0,76.91204,0.0,
1749130432.1640460,0.0,44.430202,0.0,66.6453,
1749130432.1679373,800.5402,1060.0409,937.1055,1099.1608,
1749130432.1718283,1450.0,1450.0,1450.0,1450.0,
1749130432.1757195,1292.9896,1086.3273,1190.2338,1118.5436,
1749130432.1796105,288.08826,78.32815,178.07483,86.559235,
1749130432.1835017,0.0,0.0,0.0,0.0,
1749130432.1873930,643.5299,915.7755,783.28143,966.4896,
1749130432.1912839,1450.0,1450.0,1450.0,1450.0,
1749130432.1951752,1399.1089,1226.6099,1305.4691,1242.6295,
1749130432.1990662,427.13177,213.03485,302.3378,218.25673,
1749130432.2029574,0.0,0.0,0.0,0.0,
1749130432.2068486,500.68057,761.9514,661.49664,827.1806,
1749130432.2107396,1445.2207,1450.0,1450.0,1450.0,
1749130432.2146308,1450.0,1335.7383,1398.0468,1340.6061,
1749130432.2185218,569.45,344.1128,438.90314,352.6979,
1749130432.2224131,0.0,0.0,0.0,0.0,
1749130432.2263043,360.22095,615.9159,496.60928,664.32886,
1749130432.2301953,1351.5809,1450.0,1435.131,1450.0,
1749130432.2340865,1450.0,1413.1814,1450.0,1429.2896,
