"","Tiktok","Tetris","Reality","Podcast","Musica","Maximal","Leer","Documental","Basal"
"T/A_s1",1.08389281989446,1.10910976665908,1.0670511827264,1.11476085231525,1.01389834176501,1.05854102384927,1.05446378014931,1.06145785962546,1.00347921356457
"A/T_s1",0.922600446875705,0.901624014196764,0.937162168214765,0.897053388556922,0.98629217428168,0.944696499681809,0.948349311588875,0.942100518576263,0.996532849392848
"T/A_s2",1.08679275149203,1.05482596954099,1.08545468016259,1.12288721338608,1.04428042601241,1.15981428881721,1.05328200819423,1.05626511094999,1.02117349817326
"A/T_s2",0.920138636025243,0.948023682461242,0.921272917493163,0.890561392167327,0.957597188543029,0.862207001277598,0.949413350100249,0.946732017969062,0.979265523232693
"T/A_s3",1.09900982986867,1.0400585664986,1.0360552595137,1.10241255563177,1.09789634629773,1.09204609672348,1.02430297789595,1.16213403736147,1.00230765995374
"A/T_s3",0.909909968793906,0.961484316567425,0.965199482187247,0.907101424862598,0.910832797077932,0.915712260682357,0.976273643228222,0.860485940391539,0.997697653080044
"T/A_s4",1.12013328393971,1.06044929093357,1.10074744984772,1.06543295165119,1.14447391846521,1.11483053151558,1.13226667555536,1.05104306041997,0.994927200510764
"A/T_s4",0.89275090235942,0.942996528499392,0.908473601404523,0.938585575422852,0.873763904852498,0.896997320875784,0.883184166406305,0.951435804733279,1.00509866398932
"T/A_s5",1.10528260914933,1.09593993937138,1.08915554922066,1.0891032866673,1.0788666890547,1.22465771254155,1.07947695961163,1.13461516318248,1.1243293456085
"A/T_s5",0.90474598235979,0.912458761721548,0.918142501055564,0.918186559752323,0.926898578058976,0.816554690963149,0.926374566030364,0.881356104209907,0.889419104736419
"T/A_s6",1.20508764915286,1.11339344793595,1.23039565873065,1.17600538918859,1.11000141388449,1.20225154035602,1.23075475611631,1.11079383919495,1.25695295041629
"A/T_s6",0.829815159671558,0.898155096793354,0.812746690793478,0.850336239266704,0.900899753361993,0.831772691847728,0.812509555644976,0.900257063655263,0.795574726698253
"T/A_s7",1.08523933882372,1.08442977408617,1.09991942204152,1.12095426625663,1.07423544456221,1.12471128380284,1.16384410084576,1.10330838998236,1.03203705312616
"A/T_s7",0.921455723383458,0.922143622294659,0.909157507323527,0.892097055252266,0.930894623764285,0.889117068887961,0.85922160818043,0.906364901309227,0.968957458427371
"T/A_s8",1.15660928272415,1.03864946074368,1.13132725411451,1.08170245818159,1.05575152470026,1.12919741646513,1.15607365124022,1.08113942506597,1.0827007912362
"A/T_s8",0.864596208016513,0.96278873459771,0.88391753700188,0.924468639630404,0.947192570035747,0.885584739584712,0.864996792312678,0.924950082121911,0.923616208738728
